FIRE SIZE,DC,DMC,FFMC,ISI,BUI,FWI
0.1,1003.86206,207.99475,96.21333,20.778082,274.04034,62.875107
0.25,855.23987,62.158268,91.96072,7.427946,105.201584,26.345398
0.25,987.2365,123.287674,94.82441,37.875416,187.90932,87.3113
0.1,1169.2041,138.76413,89.661026,6.067943,214.02553,28.092064
0.1,911.2342,67.18423,95.58592,16.786818,113.45601,46.619297
0.1,1029.3956,82.03323,88.96663,14.711591,136.81021,45.86252
0.1,938.1604,152.01167,96.87918,20.778885,216.37454,62.056255
0.1,836.2494,27.332794,93.08085,12.651566,50.536156,26.364395
36.0,828.9986,88.94765,97.20857,24.171011,140.26962,62.874916
0.1,324.80225,137.2328,94.524025,17.580338,137.14905,51.340366
0.1,749.20624,232.4435,98.82386,32.61098,261.81488,82.157906
1.0,1207.4941,223.02448,98.81981,27.943483,305.1471,75.29368
0.1,682.50806,139.7587,91.247574,6.5642886,184.8745,29.060825
0.5,83.80374,64.53624,92.36258,13.067847,64.05754,30.29117
0.33,618.0122,152.66466,97.08394,21.151913,188.7588,61.76613
0.25,1070.0782,357.48468,94.61645,20.20387,389.59012,62.09069
0.25,588.62775,131.83643,96.26421,25.81649,169.02852,68.4109
0.1,875.7736,61.936417,93.68995,18.559465,105.262,48.1554
20.0,234.92502,101.96337,90.5991,12.015939,101.873146,35.88989
0.1,54.10004,42.77884,96.840004,28.450323,42.38014,41.62082
0.25,418.1915,248.97926,97.71933,32.140694,247.64232,81.26837
0.05,422.5626,189.3306,96.54676,21.385616,189.06891,62.194828
0.1,802.8708,141.9934,98.45961,19.863512,196.92003,59.77782
32.0,597.92004,325.3304,94.111595,17.071003,323.77307,55.934776
0.1,394.61844,169.77374,79.444176,1.9142851,169.6284,11.505075
0.1,875.7736,61.936417,93.68995,18.559465,105.262,48.1554
0.1,524.69403,76.19406,86.3745,3.9027905,111.80015,17.091118
0.17,1101.2562,123.05579,96.36539,16.406454,192.37189,52.97144
0.7,1006.7897,66.08709,95.24174,27.320787,113.54161,63.05611
0.25,27.265757,12.641268,81.66238,4.1343336,12.570747,5.088967
0.1,628.4461,141.37755,95.7407,20.726822,180.97379,60.619576
0.25,234.3101,144.72139,96.711945,21.995378,144.02367,59.808243
0.1,694.37775,377.13196,93.48775,19.58467,375.18137,60.91659
1.0,578.8142,124.965805,92.19776,7.1835737,162.31969,30.089039
0.1,1006.7897,66.08709,95.24174,27.320787,113.54161,63.05611
0.01,1325.2584,137.5769,75.546715,0.8636544,218.4578,6.016494
0.1,398.3908,245.59998,98.33608,37.221245,244.17816,88.48645
0.3,1183.9457,204.40273,96.881134,22.606298,285.55576,66.24081
0.25,528.9201,338.3136,94.59603,15.97069,335.81467,53.696873
0.1,1009.4511,53.293934,85.17676,4.3158016,94.15994,16.875721
12.5,510.66205,327.63715,95.025085,18.253277,325.2446,58.28978
0.1,1001.6404,50.624786,80.79923,1.9707968,89.89137,8.770251
0.1,136.06557,66.14364,93.78435,17.046974,65.994095,36.673763
0.25,69.835075,61.637146,94.656456,16.250717,61.08445,34.242928
0.1,631.6307,115.25605,88.31862,5.848852,158.29869,25.981417
